3:46:17 PM  [main] 	Initializing Control Panel
3:46:17 PM  [main] 	Windows Version:  Home  64-bit
3:46:17 PM  [main] 	XAMPP Version: 5.6.30
3:46:17 PM  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
3:46:17 PM  [main] 	You are not running with administrator rights! This will work for
3:46:17 PM  [main] 	most application stuff but whenever you do something with services
3:46:17 PM  [main] 	there will be a security dialogue or things will break! So think 
3:46:17 PM  [main] 	about running this application with administrator rights!
3:46:17 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
3:46:17 PM  [main] 	Checking for prerequisites
3:46:18 PM  [main] 	All prerequisites found
3:46:18 PM  [main] 	Initializing Modules
3:46:18 PM  [main] 	Starting Check-Timer
3:46:18 PM  [main] 	Control Panel Ready
3:46:20 PM  [Apache] 	Attempting to start Apache app...
3:46:21 PM  [Apache] 	Status change detected: running
4:48:59 AM  [Apache] 	Attempting to stop Apache (PID: 7940)
4:48:59 AM  [Apache] 	Attempting to stop Apache (PID: 10708)
4:48:59 AM  [Apache] 	Status change detected: stopped
4:49:03 AM  [Apache] 	Attempting to start Apache app...
4:49:03 AM  [Apache] 	Status change detected: running
12:59:49 PM  [Apache] 	Status change detected: stopped
12:59:49 PM  [Apache] 	Error: Apache shutdown unexpectedly.
12:59:49 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
12:59:49 PM  [Apache] 	improper privileges, a crash, or a shutdown by another method.
12:59:49 PM  [Apache] 	Press the Logs button to view error logs and check
12:59:49 PM  [Apache] 	the Windows Event Viewer for more clues
12:59:49 PM  [Apache] 	If you need more help, copy and post this
12:59:49 PM  [Apache] 	entire log window on the forums
12:59:49 PM  [main] 	Deinitializing Modules
12:59:49 PM  [main] 	Deinitializing Control Panel

